,region,CIDR,VPCID,OVERLAPS
48,us-east-1a,172.31.32.0/20,vpc-292ba754,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
49,us-east-1c,172.31.80.0/20,vpc-292ba754,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
50,us-east-1f,172.31.64.0/20,vpc-292ba754,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
51,us-east-1e,172.31.48.0/20,vpc-292ba754,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
52,us-east-2a,172.31.0.0/20,vpc-d6fb6cbd,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
53,us-east-2c,172.31.32.0/20,vpc-d6fb6cbd,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
54,us-east-2b,172.31.16.0/20,vpc-d6fb6cbd,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
55,us-west-1c,172.31.0.0/20,vpc-212df447,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
56,us-west-1a,172.31.16.0/20,vpc-212df447,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
57,us-west-2d,172.31.48.0/20,vpc-d47c54ac,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd', 'vpc-d47c54ac']"
58,us-west-2b,172.31.16.0/20,vpc-d47c54ac,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd', 'vpc-d47c54ac']"
59,us-west-2c,172.31.0.0/20,vpc-d47c54ac,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd', 'vpc-d47c54ac']"
60,us-west-2a,172.31.32.0/20,vpc-d47c54ac,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd', 'vpc-d47c54ac']"
